Name                                                                       Stmts   Miss  Cover
core/work_schedule_utils.py                                                  322     46    86%
messenger/models.py                                                          553     78    86%
accounts/models.py                                                           114     16    86%
companies/search_index.py                                                    286     40    86%
messenger/serializers.py                                                     142     19    87%
audit/service.py                                                              17      2    88%
mailer/apps.py                                                                17      2    88%
mailer/logging_utils.py                                                       35      4    89%
accounts/management/commands/load_branch_regions.py                           44      5    89%
ui/analytics_service.py                                                      168     19    89%
core/exceptions.py                                                             9      1    89%
companies/inn_utils.py                                                        47      5    89%
companies/management/commands/normalize_companies_data.py                     76      8    89%
policy/engine.py                                                             144     15    90%
companies/models.py                                                          360     37    90%
policy/drf.py                                                                 20      2    90%
accounts/security.py                                                          82      8    90%
core/json_formatter.py                                                        22      2    91%
mailer/views/polling.py                                                       86      7    92%
messenger/assignment_services/rate_limiter.py                                 25      2    92%
core/input_cleaners.py                                                        52      4    92%
mailer/models.py                                                             200     15    92%
ui/views/analytics_v2.py                                                      27      2    93%
policy/models.py                                                              42      3    93%
accounts/models_region.py                                                     15      1    93%
core/request_id.py                                                            30      2    93%
mailer/tasks/reconcile.py                                                     46      3    93%
tasksapp/services.py                                                          92      6    93%
notifications/context_processors.py                                           62      4    94%
tasksapp/signals.py                                                           47      3    94%
notifications/admin.py                                                        17      1    94%
messenger/throttles.py                                                        89      5    94%
companies/normalizers.py                                                      75      4    95%
ui/admin.py                                                                   19      1    95%
messenger/assignment_services/region_router.py                                41      2    95%
messenger/assignment_services/auto_assign.py                                  24      1    96%
ui/signals.py                                                                 25      1    96%
companies/services/company_phones.py                                          53      2    96%
tasksapp/models.py                                                            63      2    97%
accounts/templatetags/accounts_extras.py                                      35      1    97%
ui/tests/test_view_as.py                                                      90      2    98%
messenger/tests/test_widget_security_features.py                             115      1    99%
ui/tests/test_amocrm_migrate.py                                              132      1    99%
messenger/tests/test_api_security.py                                         152      1    99%
accounts/admin.py                                                             12      0   100%
accounts/apps.py                                                               7      0   100%
audit/admin.py                                                                15      0   100%
audit/apps.py                                                                  5      0   100%
audit/management/commands/prune_logs.py                                       47      0   100%
audit/tasks.py                                                                26      0   100%
companies/apps.py                                                              7      0   100%
companies/search_backends/__init__.py                                          1      0   100%
companies/services/__init__.py                                                 7      0   100%
companies/services/company_delete.py                                          28      0   100%
companies/services/company_emails.py                                          29      0   100%
companies/services/timeline.py                                                16      0   100%
core/crypto.py                                                                40      0   100%
crm/__init__.py                                                                2      0   100%
crm/context_processors.py                                                      2      0   100%
